file	side	kappa
02_std/fused_labels/ADNI_011_S_0241_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061206190047259_S12088_I32020	right	0.5066258919
02_std/fused_labels/ADNI_011_S_0326_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080205160151088_S12342_I89390	right	0.4871147044
02_std/fused_labels/ADNI_010_S_0904_MR_MPR____N3__Scaled_2_Br_20081001122202254_S23759_I118704	right	0.450465707
02_std/fused_labels/ADNI_011_S_0002_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070108225928642_S9107_I35475	right	0.5069527215
02_std/fused_labels/ADNI_011_S_0010_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208114538147_S8800_I32270	right	0.5103011094
02_std/fused_labels/ADNI_011_S_0016_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208143604106_S9253_I32306	right	0.6444444444
02_std/fused_labels/ADNI_012_S_0634_MR_MPR____N3__Scaled_2_Br_20081001120424859_S15751_I118691	right	0.5570866142
02_std/fused_labels/ADNI_012_S_0637_MR_MPR____N3__Scaled_Br_20070711172252132_S16018_I59243	right	0.4643564356
02_std/fused_labels/ADNI_011_S_0023_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208151654929_S8868_I32409	right	0.5682819383
02_std/fused_labels/ADNI_011_S_0021_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208145032820_S9581_I32332	right	0.6450399624
02_std/fused_labels/ADNI_012_S_0689_MR_MPR-R____N3__Scaled_2_Br_20081001123144447_S16392_I118713	right	0.5994936709
02_std/fused_labels/ADNI_012_S_0689_MR_MPR-R____N3__Scaled_Br_20080225093300703_S16392_I92398	right	0.5564598169
02_std/fused_labels/ADNI_012_S_0720_MR_MPR____N3__Scaled_2_Br_20081001123253253_S17682_I118714	right	0.4208754209
02_std/fused_labels/ADNI_012_S_0720_MR_MPR____N3__Scaled_Br_20080225174150688_S17682_I92529	right	0.5991091314
02_std/fused_labels/ADNI_011_S_1080_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070109192452043_S23159_I35591	right	0.6433301798
02_std/fused_labels/ADNI_012_S_0932_MR_MPR____N3__Scaled_2_Br_20081001123400925_S19374_I118715	right	0.6085470085
