file	side	kappa
02_std/fused_labels/ADNI_007_S_0698_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070118041435818_S16403_I36613	left	0.5033707865
02_std/fused_labels/ADNI_007_S_1339_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070607134807952_S27414_I56319	left	0.5802901451
02_std/fused_labels/ADNI_007_S_0293_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120327735_S12193_I118690	left	0.4363001745
02_std/fused_labels/ADNI_007_S_0414_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118035313135_S14826_I36599	left	0.4353671148
02_std/fused_labels/ADNI_007_S_1248_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070713113209876_S25568_I59950	left	0.4775086505
02_std/fused_labels/ADNI_007_S_0698_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081002114239974_S16403_I119030	left	0.1967654987
02_std/fused_labels/ADNI_007_S_1206_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070713115137903_S25173_I59981	left	0.5214626391
02_std/fused_labels/ADNI_007_S_0344_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120904810_S12631_I118696	left	0.6501841136
02_std/fused_labels/ADNI_010_S_0067_MR_MPR____N3__Scaled_2_Br_20081001114835460_S10344_I118674	left	0.7704122878
02_std/fused_labels/ADNI_009_S_0842_MR_MPR__GradWarp__N3__Scaled_Br_20080206154637186_S18870_I89575	left	0.4491315136
02_std/fused_labels/ADNI_009_S_1334_MR_MPR-R__GradWarp__N3__Scaled_Br_20070717182244238_S27423_I60434	left	0.4324324324
02_std/fused_labels/ADNI_007_S_1304_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070713111105724_S26475_I59910	left	0.558117195
02_std/fused_labels/ADNI_010_S_0419_MR_MPR____N3__Scaled_2_Br_20081001121839426_S14544_I118701	left	0.5331874544
02_std/fused_labels/ADNI_010_S_0420_MR_MPR____N3__Scaled_2_Br_20081002113708512_S15582_I119024	left	0.2264975951
02_std/fused_labels/ADNI_010_S_0419_MR_MPR____N3__Scaled_Br_20070731160454622_S14544_I63320	left	0.642047532
02_std/fused_labels/ADNI_007_S_1222_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070713120847216_S25402_I60003	left	0.5078922934
02_std/fused_labels/ADNI_009_S_1354_MR_MPR__GradWarp__N3__Scaled_Br_20070717183309825_S27634_I60443	left	0.4759329367
02_std/fused_labels/ADNI_010_S_0161_MR_MPR-R____N3__Scaled_Br_20080225190221511_S10981_I92666	left	0.4047019312
02_std/fused_labels/ADNI_009_S_0862_MR_MPR__GradWarp__N3__Scaled_Br_20081016092132040_S19358_I121228	left	0.7109004739
02_std/fused_labels/ADNI_009_S_0751_MR_MPR__GradWarp__N3__Scaled_Br_20080408151939286_S17487_I101528	left	0.5237096097
02_std/fused_labels/ADNI_009_S_1030_MR_MPR__GradWarp__N3__Scaled_Br_20070517121250972_S21823_I54651	left	0.490211433
02_std/fused_labels/ADNI_010_S_0472_MR_MPR____N3__Scaled_2_Br_20081001121947466_S22912_I118702	left	0.6714031972
02_std/fused_labels/ADNI_009_S_1199_MR_MPR-R__GradWarp__N3__Scaled_Br_20070501175234132_S25147_I52836	left	0.6216328222
02_std/fused_labels/ADNI_010_S_0067_MR_MPR____N3__Scaled_Br_20080308121553394_S10344_I96211	left	0.707755102
02_std/fused_labels/ADNI_010_S_0422_MR_MPR____N3__Scaled_Br_20070731162014912_S23188_I63332	left	0.6610025489
